Trip ID,Pickup Date,Pickup Hour,Vehicle,Payment_type,No.of passengers,Trip Distance,Booking Values,Pickup Location,Total Bookings
1,2024-06-01 00:00:00,1899-12-30 00:42:50,UberX,Uber Pay,1,5.6,$21.5,East Village,1.0
2,2024-06-01 00:00:00,1899-12-30 00:06:29,Uber Black,Cash,1,1.72,$8.0,Lincoln Square East,1.0
3,2024-06-01 00:00:00,1899-12-30 00:08:05,Uber Black,Cash,1,3.41,$13.0,Sutton Place/Turtle Bay North,1.0
4,2024-06-01 00:00:00,1899-12-30 00:28:20,UberX,Cash,1,1.81,$9.0,Prospect-Lefferts Gardens,1.0
5,2024-06-01 00:00:00,1899-12-30 00:38:05,Uber Black,Cash,1,1.89,$8.0,Garment District,1.0
6,2024-06-01 00:00:00,1899-12-30 00:06:00,UberX,Cash,6,3.29,$14.0,Central Harlem,1.0
7,2024-06-01 00:00:00,1899-12-30 00:40:41,UberX,Cash,2,2.05,$8.5,Lincoln Square East,1.0
8,2024-06-01 00:00:00,1899-12-30 00:32:01,Uber Comfort,Cash,2,3.54,$12.5,Clinton East,1.0
9,2024-06-01 00:00:00,1899-12-30 00:20:27,Uber Green,Cash,1,1.1,$5.5,Clinton East,1.0
10,2024-06-01 00:00:00,1899-12-30 00:54:40,UberX,Uber Pay,2,1.9,$11.6,Lenox Hill East,1.0
11,2024-06-01 00:00:00,1899-12-30 00:18:51,UberXL,Uber Pay,1,6.66,$28.5,Clinton East,1.0
12,2024-06-01 00:00:00,1899-12-30 00:17:18,Uber Comfort,Uber Pay,2,13.12,$36.5,Kips Bay,1.0
13,2024-06-01 00:00:00,1899-12-30 00:00:31,Uber Green,Cash,1,12.59,$37.0,JFK Airport,1.0
14,2024-06-01 00:00:00,1899-12-30 00:21:51,UberXL,Cash,1,1.1,$5.5,Clinton East,1.0
15,2024-06-01 00:00:00,1899-12-30 00:29:31,UberX,Cash,1,9,$27.0,Morningside Heights,1.0
16,2024-06-01 00:00:00,1899-12-30 00:46:55,Uber Black,Uber Pay,1,2.12,$10.4,Kips Bay,1.0
17,2024-06-01 00:00:00,1899-12-30 00:46:26,UberXL,Uber Pay,1,3,$13.0,Midtown North,1.0
18,2024-06-01 00:00:00,1899-12-30 00:14:47,Uber Comfort,Uber Pay,1,3.1,$14.6,Greenwich Village South,1.0
19,2024-06-01 00:00:00,1899-12-30 00:42:52,UberXL,Uber Pay,1,5.63,$21.3,East Williamsburg,1.0
20,2024-06-01 00:00:00,1899-12-30 00:20:49,Uber Green,Uber Pay,1,1.53,$8.6,Clinton East,1.0
21,2024-06-01 00:00:00,1899-12-30 00:44:00,Uber Comfort,Cash,1,1.7,$8.5,Fort Greene,1.0
22,2024-06-01 00:00:00,1899-12-30 00:04:52,UberXL,Uber Pay,1,5.8,$25.5,Penn Station/Madison Sq West,1.0
23,2024-06-01 00:00:00,1899-12-30 00:50:26,Uber Comfort,Uber Pay,1,2.5,$10.5,Penn Station/Madison Sq West,1.0
24,2024-06-01 00:00:00,1899-12-30 00:03:50,Uber Comfort,Uber Pay,1,4.59,$21.2,Clinton East,1.0
26,2024-06-01 00:00:00,1899-12-30 00:02:46,UberX,Cash,1,1.08,$7.0,East Village,1.0
27,2024-06-01 00:00:00,1899-12-30 00:11:35,Uber Green,Cash,1,1.9,$7.0,Clinton East,1.0
28,2024-06-01 00:00:00,1899-12-30 00:42:11,UberX,Uber Pay,1,8.18,$33.2,Kips Bay,1.0
29,2024-06-01 00:00:00,1899-12-30 00:23:24,UberXL,Uber Pay,1,6.54,$23.5,Kips Bay,1.0
30,2024-06-01 00:00:00,1899-12-30 00:20:55,UberXL,Uber Pay,6,3.68,$19.0,Lenox Hill East,1.0
31,2024-06-01 00:00:00,1899-12-30 00:17:36,UberX,Cash,1,1.9,$8.5,Murray Hill,1.0
